City,State_Name,State_code
New York,New York,NY
Los Angeles,California,CA
Chicago,Illinois,IL
Houston,Texas,TX
Phoenix,Arizona,AZ
Philadelphia,Pennsylvania,PA
San Antonio,Texas,TX
San Diego,California,CA
Dallas,Texas,TX
Jacksonville,Florida,FL
Austin,Texas,TX
Fort Worth,Texas,TX
San Jose,California,CA
Columbus,Ohio,OH
Charlotte,North Carolina,NC
Indianapolis,Indiana,IN
San Francisco,California,CA
Seattle,Washington,WA
Denver,Colorado,CO
Oklahoma City,Oklahoma,OK
Nashville,Tennessee,TN
El Paso,Texas,TX
Washington,District of Columbia,DC
Las Vegas,Nevada,NV
Boston,Massachusetts,MA
Portland,Oregon,OR
Louisville,Kentucky,KY
Memphis,Tennessee,TN
Detroit,Michigan,MI
Baltimore,Maryland,MD
Milwaukee,Wisconsin,WI
Albuquerque,New Mexico,NM
Tucson,Arizona,AZ
Fresno,California,CA
Sacramento,California,CA
Mesa,Arizona,AZ
Kansas City,Missouri,MO
Atlanta,Georgia,GA
Colorado Springs,Colorado,CO
Omaha,Nebraska,NE
Raleigh,North Carolina,NC
Virginia Beach,Virginia,VA
Long Beach,California,CA
Miami,Florida,FL
Oakland,California,CA
Minneapolis,Minnesota,MN
Tulsa,Oklahoma,OK
Bakersfield,California,CA
Wichita,Kansas,KS
Arlington,Texas,TX
Aurora,Colorado,CO
Tampa,Florida,FL
New Orleans,Louisiana,LA
Cleveland,Ohio,OH
Honolulu,Hawaii,HI
Anaheim,California,CA
Lexington,Kentucky,KY
Stockton,California,CA
Corpus Christi,Texas,TX
Henderson,Nevada,NV
Riverside,California,CA
Newark,New Jersey,NJ
Saint Paul,Minnesota,MN
Santa Ana,California,CA
Cincinnati,Ohio,OH
Irvine,California,CA
Orlando,Florida,FL
Pittsburgh,Pennsylvania,PA
St. Louis,Missouri,MO
Greensboro,North Carolina,NC
Jersey City,New Jersey,NJ
Anchorage,Alaska,AK
Lincoln,Nebraska,NE
Plano,Texas,TX
Durham,North Carolina,NC
Buffalo,New York,NY
Chandler,Arizona,AZ
Chula Vista,California,CA
Toledo,Ohio,OH
Madison,Wisconsin,WI
Gilbert,Arizona,AZ
Reno,Nevada,NV
Fort Wayne,Indiana,IN
North Las Vegas,Nevada,NV
St. Petersburg,Florida,FL
Lubbock,Texas,TX
Irving,Texas,TX
Laredo,Texas,TX
Winston-Salem,North Carolina,NC
Chesapeake,Virginia,VA
Glendale,Arizona,AZ
Garland,Texas,TX
Scottsdale,Arizona,AZ
Norfolk,Virginia,VA
Boise,Idaho,ID
Fremont,California,CA
Spokane,Washington,WA
Santa Clarita,California,CA
Baton Rouge,Louisiana,LA
Richmond,Virginia,VA
